name,time,beacon,rssi,scanner
SequenceRSSI,1578021613566000000,0117C55D14E4,-77,DB8B36A69C56
SequenceRSSI,1578021613640000000,0117C55D14E4,-64,DF231643E227
SequenceRSSI,1578021613718000000,0117C55D14E4,-74,E6D9D20DD197
SequenceRSSI,1578021613774000000,0117C55D14E4,-63,DF231643E227
SequenceRSSI,1578021613893000000,0117C55D14E4,-65,E13B805C6CB0
SequenceRSSI,1578021614033000000,0117C55D14E4,-64,CD4533FFC0E1
SequenceRSSI,1578021614073000000,0117C55D14E4,-63,DF231643E227
SequenceRSSI,1578021614187000000,0117C55D14E4,-92,C400A2E19293
SequenceRSSI,1578021614196000000,0117C55D14E4,-71,F69A86823B96
SequenceRSSI,1578021614233000000,0117C55D14E4,-67,CD4533FFC0E1
SequenceRSSI,1578021614279000000,0117C55D14E4,-72,EC72840D9AD3
SequenceRSSI,1578021614283000000,0117C55D14E4,-77,DB8B36A69C56
SequenceRSSI,1578021614291000000,0117C55D14E4,-62,DF231643E227
SequenceRSSI,1578021614294000000,0117C55D14E4,-74,E6D9D20DD197
SequenceRSSI,1578021614304000000,0117C55D14E4,-75,FDAE5980F28C
SequenceRSSI,1578021614344000000,0117C55D14E4,-91,E43355CA8B96
SequenceRSSI,1578021614449000000,0117C55D14E4,-73,F69A86823B96
SequenceRSSI,1578021614475000000,0117C55D14E4,-77,FDAE5980F28C
SequenceRSSI,1578021614480000000,0117C55D14E4,-62,DF231643E227
SequenceRSSI,1578021614608000000,0117C55D14E4,-79,FDAE5980F28C
SequenceRSSI,1578021614610000000,0117C55D14E4,-72,EC72840D9AD3
SequenceRSSI,1578021614696000000,0117C55D14E4,-67,E13B805C6CB0
SequenceRSSI,1578021614774000000,0117C55D14E4,-74,E6D9D20DD197
SequenceRSSI,1578021614775000000,0117C55D14E4,-67,E96AF2C858BA
SequenceRSSI,1578021614817000000,0117C55D14E4,-66,CD4533FFC0E1
SequenceRSSI,1578021614818000000,0117C55D14E4,-62,DF231643E227
SequenceRSSI,1578021614818000000,0117C55D14E4,-68,E96AF2C858BA
SequenceRSSI,1578021614844000000,0117C55D14E4,-73,E96AF2C858BA
SequenceRSSI,1578021614908000000,0117C55D14E4,-67,CD4533FFC0E1
SequenceRSSI,1578021614952000000,0117C55D14E4,-88,C400A2E19293
SequenceRSSI,1578021614958000000,0117C55D14E4,-60,DF231643E227
SequenceRSSI,1578021615101000000,0117C55D14E4,-73,E6D9D20DD197
SequenceRSSI,1578021615106000000,0117C55D14E4,-64,DF231643E227
SequenceRSSI,1578021615120000000,0117C55D14E4,-74,CD4533FFC0E1
SequenceRSSI,1578021615171000000,0117C55D14E4,-81,E43355CA8B96
SequenceRSSI,1578021615247000000,0117C55D14E4,-92,E96AF2C858BA
SequenceRSSI,1578021615247000000,0117C55D14E4,-82,E6D9D20DD197
SequenceRSSI,1578021615348000000,0117C55D14E4,-91,F1EDAF28E08A
SequenceRSSI,1578021615400000000,0117C55D14E4,-67,E13B805C6CB0
SequenceRSSI,1578021615519000000,0117C55D14E4,-78,E6D9D20DD197
SequenceRSSI,1578021615524000000,0117C55D14E4,-96,E96AF2C858BA
SequenceRSSI,1578021615580000000,0117C55D14E4,-70,F1307ECB3B90
SequenceRSSI,1578021615583000000,0117C55D14E4,-94,F1EDAF28E08A
SequenceRSSI,1578021615656000000,0117C55D14E4,-75,DF231643E227
